Black,BlackElo,Date,Event,EventDate,GameNumber,Result,Site,White,WhiteElo
Steinitz  Wilhelm,0,1886-01-11,World Championship 1st,1886.01.11,1,Black,USA,Zukertort  Johannes H,0
Zukertort  Johannes H,0,1886-01-13,World Championship 1st,1886.01.11,2,Black,USA,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1886-01-15,World Championship 1st,1886.01.11,3,White,USA,Zukertort  Johannes H,0
Zukertort  Johannes H,0,1886-01-18,World Championship 1st,1886.01.11,4,Black,USA,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1886-01-20,World Championship 1st,1886.01.11,5,White,USA,Zukertort  Johannes H,0
Zukertort  Johannes H,0,1886-02-03,World Championship 1st,1886.01.11,6,White,USA,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1886-02-05,World Championship 1st,1886.01.11,7,Black,USA,Zukertort  Johannes H,0
Zukertort  Johannes H,0,1886-02-08,World Championship 1st,1886.01.11,8,Draw,USA,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1886-02-10,World Championship 1st,1886.01.11,9,Black,USA,Zukertort  Johannes H,0
Zukertort  Johannes H,0,1886-02-26,World Championship 1st,1886.01.11,10,Draw,USA,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1886-03-01,World Championship 1st,1886.01.11,11,Black,USA,Zukertort  Johannes H,0
Zukertort  Johannes H,0,1886-03-03,World Championship 1st,1886.01.11,12,White,USA,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1886-03-05,World Championship 1st,1886.01.11,13,White,USA,Zukertort  Johannes H,0
Zukertort  Johannes H,0,1886-03-12,World Championship 1st,1886.01.11,14,Draw,USA,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1886-03-15,World Championship 1st,1886.01.11,15,Draw,USA,Zukertort  Johannes H,0
Zukertort  Johannes H,0,1886-03-17,World Championship 1st,1886.01.11,16,White,USA,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1886-03-19,World Championship 1st,1886.01.11,17,Draw,USA,Zukertort  Johannes H,0
Zukertort  Johannes H,0,1886-03-22,World Championship 1st,1886.01.11,18,White,USA,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1886-03-24,World Championship 1st,1886.01.11,19,Black,USA,Zukertort  Johannes H,0
Zukertort  Johannes H,0,1886-03-29,World Championship 1st,1886.01.11,20,White,USA,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1889-01-20,World Championship 2nd,1889.01.20,21,White,Havana CUB,Chigorin  Mikhail I,0
Chigorin  Mikhail I,0,1889-01-22,World Championship 2nd,1889.01.20,22,White,Havana CUB,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1889-01-24,World Championship 2nd,1889.01.20,23,White,Havana CUB,Chigorin  Mikhail I,0
Chigorin  Mikhail I,0,1889-01-26,World Championship 2nd,1889.01.20,24,White,Havana CUB,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1889-01-27,World Championship 2nd,1889.01.20,25,Black,Havana CUB,Chigorin  Mikhail I,0
Chigorin  Mikhail I,0,1889-01-29,World Championship 2nd,1889.01.20,26,Black,Havana CUB,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1889-01-31,World Championship 2nd,1889.01.20,27,White,Havana CUB,Chigorin  Mikhail I,0
Chigorin  Mikhail I,0,1889-02-04,World Championship 2nd,1889.01.20,28,White,Havana CUB,Steinitz  Wilhelm,0
Steinitz  Wilhelm,0,1889-02-05,World Championship 2nd,1889.01.20,29,Black,Havana CUB,Chigorin  Mikhail I,0
Chigorin  Mikhail I,0,1889-02-08,World Championship 2nd,1889.01.20,30,White,Havana CUB,Steinitz  Wilhelm,0
