FEN,GameNumber,Move,MoveNumber,Side
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,1,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,2,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,3,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,4,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,5,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,6,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,7,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,8,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,9,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,10,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,11,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,12,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,13,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,14,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,15,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,16,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,17,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,18,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,19,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,20,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,21,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,22,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,23,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,24,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,25,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,26,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,27,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,28,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,29,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,30,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,31,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,32,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,33,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,34,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,35,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,36,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,37,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,38,d4,1,white
